atlh302	Boêe wulkanu, któryª jest we wnètrzu góry Acydofilus,
atlh303	przyjmij naszà ofiarè.
atlh304	Oddajemy ci to ciaìo o wysokiej zawartoªci zdrowego bìonnika i witamin,
atlh305	bez cukru i tìuszczy trans.
atlh306	Niechaj zaspokoi twój gìód i sprawi, êe przychylniej spojrzysz na naszà wioskè.
atlh307	I niechaj nie podraêni twego Zawrzodzonego Krateru.
atlh308	Dobra... wrzucajcie!
atlh309	Byliªcie wspaniaìà widownià! Dzièkujè i dobranoc!
atlh310	Gìupcze! Daìeª ser bogu wulkanu, który ma alergiè na laktozè!
atlh311	Wiesz, co to oznacza? Wywoìaìeª Nadejªcie Boskiej Biegunki!
atlh312	Ratuj siè, kto moêe!
atgt313	Widowisko byìo lepsze, niê przypuszczaìem!
atlh314	Ej!
atlh315	Wynocha stàd!
atlh316	Zakìócisz przebieg ceremonii!
atgt317	Karmicie wulkan kukìami z warzyw?
atlh318	Tak.
atlh319	Sherman nie jest weganinem,
atlh320	ale po tìustej êywnoªci miewa cièêkie niestrawnoªci.
atgt321	Pièkna pogoda na ofiarè.
atlh322	Tylko jedna na dzie°. Sherman jest wraêliwy na przekarmienie.
atnz323	ofiara
atnz324	olbrzymi wrzàcy krater
atgt325	Bàbelkuje.
atgt326	Straciìbym rèkè!
atgt327	Chwaìa bogu wulkanu!
atgt328	Nie byìaby to stosowna ofiara.
atnz329	olbrzymi wrzàcy krater
atnz330	Cytryn
atgt331	To przywódca kanibali.
atgt332	Nie chcè wpycha¿ go do wulkanu.
agso301	Z drogi albo was zniszczè!
agso302	Witaj, sàsiedzie! Masz jakieª brylanty?
agso303	No to gdzie jest ten ogromny brylant, który podobno macie?
agso304	Dzie° dobry. Jestem nowym kontrolerem do spraw brylantów na Wyspie Czaszki.
agso305	Mam tyle pienièdzy, êe aê mi gìupio.
agso306	Chyba pomyliìem jaskinie. Tymczasem!
agcr307	Grrr...
aggt308	To znaczy... Zniszczè was mojà uprzejmoªcià i rozsàdkiem.
agka309	Zdaje siè, êe mamy nieproszonego goªcia, Cruff. Zaìatw go.
aggt310	Dajcie mi spróbowa¿ jeszcze raz.
aggt311	Mnie siè wìaªnie sko°czyìy.
agka312	Wynoª siè.
aggt313	Dajcie mi spróbowa¿ jeszcze raz.
agcr314	Grrr...
agka315	Bierz go, Cruff.
aggt316	Dajcie mi spróbowa¿ jeszcze raz.
aggt317	Muszè obejrze¿ kaêdy brylant, jaki macie. Co do jednego.
aggt318	Dawa¿! Ruchy, ruchy! Nie mam czasu!
agka319	Ten goª¿ mi siè nie podoba. Zabij go.
aggt320	Dajcie mi spróbowa¿ jeszcze raz.
agka321	Witaj! Porozmawiajmy, panie...?
agso322	Threepwood, Guybrush Threepwood.
agso323	LeChuck, Zombie Pirat.
agso324	Dobrozup, Wonton Dobrozup.
agso325	Glut, kapitan Glut.
agso326	VanGoughderfassenson, Jethro VanGoughderfassenson.
agso327	Tito, po prostu Tito.
agka328	No dobrze, panie Threepwood.
aggt329	Skàd znasz moje...
agka330	W moim interesie jest wiedzie¿, kto przybywa na Wyspè Czaszki i kto jà opuszcza.
agka331	Jestem król André, a to mój wspóìpracownik, Cruff.
agka332	Szuka pan czegoª szczególnego?
aggt333	Brylantu rodziny Dobrozupów.
aggt334	LeChuck go ukradì, wy go kupiliªcie, a ja go chcè. Natychmiast.
agcr335	Grrr...
aggt336	Proszè.
aggt337	Proszè pana.
agka338	Aleê w naszym Pirackim Klubie mamy tyle towarów przedniej jakoªci.
agcr339	Nasze ceny spadajà z kaêdym dniem.
agka340	Mamy wszystko czego pirat - lub prawie pirat - moêe zapragnà¿.
agka341	Za odpowiednià cenè.
agka342	HA HA HA HA HA HA HA HA HA HA HA HA HA HA HA!
agso343	Nie rozumiem.
agso344	Mógìbyª siè juê tak nie ªmia¿?
agso345	Jesteª taki dziwny.
agso346	Unikasz tej caìej sprawy z brylantem.
agka347	Brylant Dobrozupów jest chlubà mojej kolekcji.
agka348	Niesamowita energia, która przez niego pìynie, jest kluczem do mej potègi!
aggt349	Wièc mogè go dosta¿?
agka350	Oczywiªcie, êe nie... dopóki nie dasz czegoª w zamian.
agso351	Myªlisz, êe coª ci powiem?
agso352	Twój nikczemny plan siè nie powiedzie!
agso353	Jesteª szalony!
agso354	Ten brylant powinien by¿ w muzeum!
agso355	Moêe ubijemy interes.
agso356	Moêe po prostu siè rozejrzè.
aggt357	Moêe po prostu siè rozejrzè.
agka358	Nie, panie Threepwood. Myªlè, êe coª mi pan da.
agka359	Mój plan jest doskonaìy!
agka360	Èadunki starannie rozìoêone po caìej Krwawej Wyspie,
agka361	sterowane przez sie¿ geostacjonarnych satelitów...
agka362	Tylko jeden czìowiek ma nad nimi kontrolè.
agcr363	Szefie?
agka364	Czyli ja, Threepwood, i...
agcr365	Szefie?
agka366	Tak, panie Cruff?
agcr367	Starczy szczegóìów.
agka368	Racja.
agka369	Ja jestem szalony?
agka370	HA HA HA HA HA HA HA HA HA HA HA HA HA HA HA!
agka371	Czy to szale°stwo siedzie¿ w jaskini na szczycie bezludnej wyspy,
agka372	gromadzi¿ olbrzymie iloªci zìota, klejnotów i wypchanych zwierzàt
agka373	oraz piètrzy¿ ìupy z caìych Karaibów, dzièki czemu klienci majà niêsze ceny?
agka374	To szale°stwo... czy geniusz?!
aggt375	Sìuszna uwaga. Cofam to.
agka376	Ja nie jestem szalony, ale moje ceny - tak!
agka377	To tak jak postimpresjonistyczne obrazy, panie Threepwood.
agka378	Tak jak postimpresjonistyczne obrazy.
aggt379	Co to ma niby znaczy¿?
agka380	Pewnego dnia... zrozumiesz.
agso381	Nie mogìem nie zauwaêy¿ tych sìodkich Szmuglerskich Króliczków.
agso382	Chciaìbym kupi¿ coª bardzo pirackiego.
agso383	Masz moêe jakieª zabawki?
agso384	Naprawdè nastawiìem siè na ten brylant.
agso385	No dobra, zagram z tobà o brylant.
agso386	Chcè jeszcze raz zagra¿ o brylant.
agso387	Jeszcze siè rozglàdam.
agka388	Szmuglerski Króliczek to jeden z naszych najpopularniejszych towarów.
agka389	W kaêdym znajduje siè przemyªlnie ukryta sakiewka tuê nad jelitami.
aggt390	Éwietnie! Biorè!
agka391	Ëaden z nich nie zawiera brylantu.
aggt392	Niewaêne.
agka393	Oczywiªcie. Bardzo pirackie rzeczy to nasza specjalnoª¿.
agka394	Chce pan obejrze¿ drewniane nogi?
aggt395	Zaleêy, co bèdziesz nimi robi¿.
aggt396	To byì êart.
agka397	Nie bardzo nadàêam, ale z pewnoªcià byì zabawny.
agka398	Jak pan sobie êyczy.
agka399	Jest pan onieªmielajàcym przeciwnikiem, panie Threepwood,
agka400	ale chyba musimy zako°czy¿ tè grè w kotka i myszkè.
agka401	To nieskazitelny brylant, jeden z wièkszych, jakie widziaìem.
aggt402	Biorè!
agka403	Dlatego teê jego cena jest bardzo wysoka.
aggt404	Doª¿ tej agresywnej sprzedaêy. Ile?
agka405	Kupa pienièdzy.
agka406	Ma pan tyle?
aggt407	Mam mnóstwo pienièdzy.
agcr408	Ale za maìo.
agka409	Mój partner ma racjè.
agka410	Nie sprzedamy go za mniej niê za kupè pienièdzy.
aggt411	Nie.
agcr412	Ile masz?
aggt413	Niech siè zastanowiè...
aggt414	Gotówka... fundusz inwestycyjny... przenieª¿ dwójkè...
aggt415	bardzo maìo.
agka416	Tak myªlaìem.
agka417	Ale moêe siè dogadamy.
agka418	Mój partner i ja bardzo lubimy karty, w szczególnoªci pokera.
agka419	Co pan powie na maìy zakìad? Jeªli pokona nas pan w pokera, wygra pan brylant.
aggt420	Uczciwa propozycja.
agka421	Tak, uczciwa.
agka422	HA HA HA HA HA HA HA HA HA HA HA HA HA!
aggt423	Mógìbyª siè tak nie ªmia¿? Dziaìa mi to na nerwy.
agka424	A wièc, panie Threepwood. Niech pan decyduje.
agka425	Zagra pan z nami partyjkè?
agso426	Jasne! Rozdawaj, ìysolu!
agso427	W êyciu. Nie umiem gra¿ w pokera.
agka428	Zanim zaczniemy, musi pan wnieª¿ wpisowe.
aggt429	Czyli ile?
agcr430	Nie tak wiele.
agka431	Proszè postawi¿ sumè, o którà siè pan zakìada.
aggt432	Nie mam ani grosza.
agka433	Wièc nie moêe pan gra¿.
agka434	Co by byìo, gdyby pan jakimª niefortunnym trafem przegraì?
agka435	Nic byªmy nie zyskali.
aggt436	Nie ma problemu.
aggt437	To mnóstwo pienièdzy. Lepiej dam im tylko ich czèª¿.
agka438	Graì pan kiedyª w pokera, panie Threepwood?
aggt439	Nie. Dacie wiarè, êe to mój pierwszy raz?
agcr440	Heh. Heh.
agka441	W takim razie w skrócie wytìumaczè zasady.
agka442	To najprostsza odmiana pokera dobieranego na piè¿ kart.
agka443	Rozdajè po piè¿ kart.
agka444	Pokazujemy swoje karty i gracz z najlepszym ukìadem wygrywa.
aggt445	Skàd mam wiedzie¿, który ukìad jest najlepszy?
agka446	Jeªli ma pan jakieª pytania, proszè pyta¿.
agka447	Chyba nam pan ufa?
agso448	Nie ufam wam za grosz, wy podli kanciarze.
agso449	Ufam? Nie ma mowy, ty plugawy ìgarzu.
agso450	Ufam, êe jesteªcie wyjàtkowymi mendami.
agso451	Nie wiesz, co to zaufanie, zìodzieju.
aggt452	Oczywiªcie, êe wam ufam!
agka453	W porzàdku, zaczynajmy.
aggt454	Chodëcie, siódemeczki!
aggt455	Dawa¿ mi tu dobre karty! Muszè zdjà¿ pirackà klàtwè!
aggt456	Tylko bez lipy!
aggt457	Rozdaj, rozdaj, rozdaj, tasuj, rozdaj!
agka458	Przyjrzyjcie siè swoim kartom.
agka459	Juê nas pan opuszcza, panie Threepwood?
agcr460	Siadaj! My tu gramy.
agka461	Poddajesz siè, Guybrush?
agso462	Chciaìem tylko rozprostowa¿ nogi. Gramy dalej.
agso463	Zatrzymajcie pieniàdze. Poddajè siè.
agka464	Moêe fortuna siè w ko°cu uªmiechnie.
agka465	Proszè siè nie poddawa¿.
agka466	Moêe warto spróbowa¿ jeszcze raz.
agka467	Chce pan spróbowa¿ jeszcze raz?
agso468	No ba. Zamierzam wygra¿ ten brylant!
agso469	Nie, dzièki.
ado1301	Jak ªmiesz atakowa¿ mój okrèt!
ado2302	Jak ªmiesz atakowa¿ mój okrèt!
ado3303	Jak ªmiesz atakowa¿ mój okrèt!
ado4304	Jak ªmiesz atakowa¿ mój okrèt!
ado5305	Jak ªmiesz atakowa¿ mój okrèt!
ado6306	Jak ªmiesz atakowa¿ mój okrèt!
ado1307	Abordaê statku pirackiego moêe zagraêa¿ twemu êyciu lub zdrowiu!
ado2308	Abordaê statku pirackiego moêe zagraêa¿ twemu êyciu lub zdrowiu!
ado3309	Abordaê statku pirackiego moêe zagraêa¿ twemu êyciu lub zdrowiu!
ado4310	Abordaê statku pirackiego moêe zagraêa¿ twemu êyciu lub zdrowiu!
ado5311	Abordaê statku pirackiego moêe zagraêa¿ twemu êyciu lub zdrowiu!
ado6312	Abordaê statku pirackiego moêe zagraêa¿ twemu êyciu lub zdrowiu!
ado1313	Lepiej stàd czmychaj, jeªli ci êycie miìe!
ado2314	Lepiej stàd czmychaj, jeªli ci êycie miìe!
ado3315	Lepiej stàd czmychaj, jeªli ci êycie miìe!
ado4316	Lepiej stàd czmychaj, jeªli ci êycie miìe!
ado5317	Lepiej stàd czmychaj, jeªli ci êycie miìe!
ado6318	Lepiej stàd czmychaj, jeªli ci êycie miìe!
ado1319	Rzeczesz, êeª pirat!
ado1320	A ja rzeknè, êe musisz tego dowieª¿!
ado2321	Rzeczesz, êeª pirat!
ado2322	A ja rzeknè, êe musisz tego dowieª¿!
ado3323	Rzeczesz, êeª pirat!
ado3324	A ja rzeknè, êe musisz tego dowieª¿!
ado4325	Rzeczesz, êeª pirat!
ado4326	A ja rzeknè, êe musisz tego dowieª¿!
ado5327	Rzeczesz, êeª pirat!
ado5328	A ja rzeknè, êe musisz tego dowieª¿!
ado6329	Rzeczesz, êeª pirat!
ado6330	A ja rzeknè, êe musisz tego dowieª¿!
ado1331	Lepiej odpìy°, zanim zrobisz sobie krzywdè!
ado2332	Lepiej odpìy°, zanim zrobisz sobie krzywdè!
ado3333	Lepiej odpìy°, zanim zrobisz sobie krzywdè!
ado4334	Lepiej odpìy°, zanim zrobisz sobie krzywdè!
ado5335	Lepiej odpìy°, zanim zrobisz sobie krzywdè!
ado6336	Lepiej odpìy°, zanim zrobisz sobie krzywdè!
ado1337	Sczeëniesz za abordaê mojego statku!
ado2338	Sczeëniesz za abordaê mojego statku!
ado3339	Sczeëniesz za abordaê mojego statku!
ado4340	Sczeëniesz za abordaê mojego statku!
ado5341	Sczeëniesz za abordaê mojego statku!
ado6342	Sczeëniesz za abordaê mojego statku!
ado1343	Czego chcesz?
ado2344	Czego chcesz?
ado3345	Czego chcesz?
ado4346	Czego chcesz?
ado5347	Czego chcesz?
ado6348	Czego chcesz?
ado1349	Ktoª ty?
ado2350	Ktoª ty?
ado3351	Ktoª ty?
ado4352	Ktoª ty?
ado5353	Ktoª ty?
ado6354	Ktoª ty?
ado1355	Spìywaj z mojego pokìadu, ty krowo morska!
ado2356	Spìywaj z mojego pokìadu, ty krowo morska!
ado3357	Spìywaj z mojego pokìadu, ty krowo morska!
ado4358	Spìywaj z mojego pokìadu, ty krowo morska!
ado5359	Spìywaj z mojego pokìadu, ty krowo morska!
ado6360	Spìywaj z mojego pokìadu, ty krowo morska!
ado1361	Jeªli szukasz zwady, to wìaªnieª jà znalazì!
ado2362	Jeªli szukasz zwady, to wìaªnieª jà znalazì!
ado3363	Jeªli szukasz zwady, to wìaªnieª jà znalazì!
ado4364	Jeªli szukasz zwady, to wìaªnieª jà znalazì!
ado5365	Jeªli szukasz zwady, to wìaªnieª jà znalazì!
ado6366	Jeªli szukasz zwady, to wìaªnieª jà znalazì!
ado1367	Nie mam êadnych skarbów.
ado2368	Nie mam êadnych skarbów.
ado3369	Nie mam êadnych skarbów.
ado4370	Nie mam êadnych skarbów.
ado5371	Nie mam êadnych skarbów.
ado6372	Nie mam êadnych skarbów.
adgt373	Nie okìamaìbyª mnie, co?
ado1374	Okìamaìbym, ale teraz nie kìamiè.
ado2375	Okìamaìbym, ale teraz nie kìamiè.
ado3376	Okìamaìbym, ale teraz nie kìamiè.
ado4377	Okìamaìbym, ale teraz nie kìamiè.
ado5378	Okìamaìbym, ale teraz nie kìamiè.
ado6379	Okìamaìbym, ale teraz nie kìamiè.
adgt380	Wiem.
ado1381	To czemu siè nie odczepisz?
ado2382	To czemu siè nie odczepisz?
ado3383	To czemu siè nie odczepisz?
ado4384	To czemu siè nie odczepisz?
ado5385	To czemu siè nie odczepisz?
ado6386	To czemu siè nie odczepisz?
adgt387	Muszè potrenowa¿.
ado1388	Skoro tak...
ado2389	Skoro tak...
ado3390	Skoro tak, koleêko...
ado4391	Skoro tak...
ado5392	Skoro tak...
ado6393	Skoro tak...
ado1394	Dalej trenujesz?
ado2395	Dalej trenujesz?
ado3396	Dalej trenujesz?
ado4397	Dalej trenujesz?
ado5398	Dalej trenujesz?
ado6399	Dalej trenujesz?
adgt400	Tak.
ado1401	Dobra...
ado2402	Dobra...
ado3403	Dobra...
ado4404	Dobra...
ado5405	Dobra...
ado6406	Dobra...
adrh407	Ech...
adrh408	Znowu ty.
adrh409	Znowu chcesz dosta¿ ìomot?
adrh410	Czego chcesz?
adrh411	No, no, no.
adrh412	Patrzcie, co teê morze wyrzuciìo.
adrh413	Czego pan chce, panie Niedoìègo?
adso414	Jestem Guybrush Threepwood! Potèêny pirat!
adso415	Przybyìem wyrówna¿ rachunki!
adso416	Nie odpuszczè ci, René!
adso417	Teraz ciè mam!
adso418	Aleê ci siè dostanie!
adso419	Przybyìem po mojà mapè!
adso420	Oddawaj mapè, potworze!
adso421	Oddaj mapè albo posmakujesz mego ostrza!
adso422	I tak zamierzam ciè podziurawi¿!
adso423	Przybyìem ograbi¿ ciè ze skarbów!
adso424	Oddaj mi skarby, a pozwolè ci êy¿!
adso425	Skarby albo êycie!
adso426	Myªlaìem, êe to ktoª inny.
adso427	Zmieniìem zdanie. Puszczè ciè wolno.
ado1428	Nie rozªmieszaj mnie!
ado2429	Nie rozªmieszaj mnie!
ado3430	Nie rozªmieszaj mnie!
ado4431	Nie rozªmieszaj mnie!
ado5432	Nie rozªmieszaj mnie!
ado6433	Nie rozªmieszaj mnie!
adrh434	Ëaden z ciebie przeciwnik, ty nicponiu!
adrh435	Hmmm.
adrh436	To moêe by¿ zabawne.
adrh437	Nie bojè siè ciebie, ìobuzie jeden!
adrh438	Wnet ciè zaìatwiè.
ado1439	Nie!
ado1440	Zabieram twój ìup!
ado2441	Nie!
ado2442	Zabieram twój ìup!
ado3443	Nie!
ado3444	Zabieram twój ìup!
ado4445	Nie!
ado4446	Zabieram twój ìup!
ado5447	Nie!
ado5448	Zabieram twój ìup!
ado6449	Nie!
ado6450	Zabieram twój ìup!
ado1451	Powodzenia, chìopcze!
ado2452	Powodzenia, chìopcze!
ado3453	Powodzenia, chìopcze!
ado4454	Powodzenia, chìopcze!
ado5455	Powodzenia, chìopcze!
ado6456	Powodzenia, chìopcze!
ado1457	Nie zdàêysz tego poêaìowa¿!
ado2458	Nie zdàêysz tego poêaìowa¿!
ado3459	Nie zdàêysz tego poêaìowa¿!
ado4460	Nie zdàêysz tego poêaìowa¿!
ado5461	Nie zdàêysz tego poêaìowa¿!
ado6462	Nie zdàêysz tego poêaìowa¿!
ado1463	Aaargh!
ado2464	Aaargh!
ado3465	Aaargh!
ado4466	Aaargh!
ado5467	Aaargh!
ado6468	Aaargh!
ado1469	Najpierw potrzymam ciè w karcerze!
ado2470	Najpierw potrzymam ciè w karcerze!
ado3471	Najpierw potrzymam ciè w karcerze!
ado4472	Najpierw potrzymam ciè w karcerze!
ado5473	Najpierw potrzymam ciè w karcerze!
ado6474	Najpierw potrzymam ciè w karcerze!
adsu475	Kaêdego mego wroga w niwecz obróciìem!
adsu476	Obleªnyª niczym maìpa caìkiem bez odzienia.
